,Dns_SMILES,Experimental_RT,Predicted_RT
11,O=C(N1)C2=C(N=C1NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)N(C=N2)[C@@H]([C@H](O)[C@@H]5O)O[C@@H]5COP(O)(O)=O,1.15,3.51
5,O=P(O)(OCC[N+](C)(C)C)OP(O)(OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O)O1)=O,1.28,3.08
3,O=P(O)(OCC[N+](C)(C)C)OP(O)(OC[C@@H]1[C@@H](OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O)[C@H](N4C(N=C(N)C=C4)=O)O1)=O,1.48,2.95
4,O[C@@H]1[C@H](O)[C@@H](COP(OP(O)(O)=O)(O)=O)O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,1.49,2.96
0,OC(P(O)(O)=O)(CCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)P(O)(O)=O,1.59,2.74
7,O[C@H]1[C@H](O)[C@@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O)O[C@@H]1COP(O)(O)=O,1.6,3.16
38,O=S(CC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)(O)=O,1.64,4.74
6,O=C(O)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CP(O)(O)=O,1.69,3.13
18,CN(C)C1=C(C=CC=C2S(=O)(NC3=C4N=CN(C4=NC=N3)[C@H]5O[C@H]([C@@H]([C@@H]5O)O)COP(O)(O)=O)=O)C2=CC=C1,1.75,3.8
8,O[C@H]([C@@H](COS(O)(=O)=O)O[C@H]1O)[C@@H]([C@H]1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)O,1.79,3.36
2,O[C@H]1[C@H](N2C(N=C(N)C=C2)=O)O[C@H](COP(O)(O)=O)[C@H]1OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,1.88,2.95
1,CN(C)C1=C(C=CC=C2S(=O)(NCCOP(O)(O)=O)=O)C2=CC=C1,2.02,2.83
22,OC1=NC(O)NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2,2.12,4.05
36,OC[C@H]([C@H]1O)O[C@H]([C@@H]1O)N2C3=C(N=C2)C(NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=N3)=O,2.22,4.66
34,O=S(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)(O)=O,2.24,4.6
39,OC(CC[C@@H](C(O)=O)NCCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,2.26,4.83
19,O=C([C@H](CCCNC(N)=N)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,2.44,3.84
40,OS(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,2.47,4.89
20,CN(C)C1=C(C=CC=C2S(=O)(NCCCN)=O)C2=CC=C1,2.63,3.91
13,NC(N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)=N,2.74,3.56
10,OC([C@H](CC(O)=O)NC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,2.81,3.48
12,O[C@H]1[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O)O[C@H](COP(O)(O)=O)[C@H]1O,2.87,3.55
32,O[C@H]1[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(C)=C2)=O)O[C@H](CO)[C@H]1O,2.94,4.51
9,OC([C@@H](N)CCCCN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N)=N)=O,3,3.41
17,NC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N,3,3.73
30,OC([C@H](CC(N)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,3,4.45
15,OC(CN(C)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,3.02,3.58
21,CN/C(NCCC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N\C,3.05,3.91
52,CN1C(CCNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CN=C1,3.27,6.92
45,NC(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.32,5.94
46,OC([C@@H](CCC(N)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,3.32,5.94
16,CN(C)C1=C(C=CC=C2S(=O)(NCC(NCC(NCC(NCC(O)=O)=O)=O)=O)=O)C2=CC=C1,3.39,3.68
43,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC(N[C@H](C(O)=O)CCC(O)=O)=O)=O,3.44,5.48
33,OC(CCCNC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,3.65,4.51
65,CS(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.72,7.68
24,NC(NCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.74,4.11
25,N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NC,3.84,4.12
31,O[C@H]1[C@H](N2C3=NC=NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C3N=C2)O[C@H](CO)[C@H]1O,3.94,4.48
48,OCC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,4.05,6.28
70,CS(CC[C@H](N)C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)=O,4.2,7.99
37,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CO)=O,4.4,4.7
29,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCCNC(N)=O)=O,4.47,4.29
14,NC(NCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N,4.52,3.56
27,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N(C=N2)C3=C2C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=NC=N3,4.58,4.16
23,O=C1N(C=CC(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=N1)[C@@H](C[C@@H]4O)O[C@@H]4COP(O)(O)=O,4.66,4.07
63,OC(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,5.05,7.56
44,OC([C@H](CC(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,5.16,5.64
76,OC([C@@H]1C[C@@H](O)CN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,5.17,8.2
35,OCCN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCO,5.49,4.6
26,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H](C1)N2C3=C(N=C2)C(NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=N3)=O,5.57,4.15
82,O=C(OC1=O)CC[C@H]1NCCCC[C@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(O)=O,5.65,8.38
74,O=C(O)[C@H](CCCCNC(C)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,5.71,8.1
47,O=C([C@H]([C@@H](C)O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,5.79,6.05
93,CN(C)C1=C(C=CC=C2S(=O)(N)=O)C2=CC=C1,5.82,9.14
49,O[C@@H]([C@H](N1C=C(C)C(N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C1=O)=O)O[C@@H]4CO)[C@@H]4O,5.85,6.83
28,O[C@H]1[C@H](N2C=CC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=NC2=O)O[C@H](CO)[C@H]1O,5.87,4.17
78,O=C(O)[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCC(O)=O,5.97,8.3
42,O[C@H]1[C@H](N2C(N=C(N)C(C)=C2)=O)O[C@H](CO)[C@H]1OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,5.98,5.28
41,OCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,6,5.18
55,O=C1C2=NC([C@@H](O)[C@@H](O)C)=CNC2=NC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N1,6.03,7.25
80,O=C(NC(CCC(O)=O)C(O)=O)C(C=C1)=CC=C1NCC2=NC3=C(N=C2)N=C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)N=C3N,6.06,8.32
95,OC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C([C@@H](O)CNC)C=C1,6.19,9.16
88,O=C(NC1=O)[C@@H](C1)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,6.4,8.69
53,OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,6.59,6.94
58,OC([C@H](CCCCNC(CCCC[C@@H]1SC[C@]2([H])NC(N[C@]12[H])=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,6.72,7.41
64,CC(N[C@H](C(O)=O)CCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,6.79,7.57
51,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCNC(N)=N)N[C@H](C(O)=O)CC3=CC=CC=C3,6.8,6.9
83,O[C@@H]1[C@H](O)[C@@H](CSC)O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,6.97,8.38
62,O=C(N1CCC[C@H]1C(O)=O)CNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,7.17,7.54
91,OC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC([C@@H](O)CNC)=C1,7.2,8.85
57,OC(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,7.24,7.35
66,O=C(C)NCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,7.25,7.76
114,O[C@H]([C@@H]1O)[C@H](N2C=CC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=NC2=O)OC1=C,7.38,9.86
79,OC([C@@H](CC(O)=O)N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,7.53,8.31
68,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,7.57,7.96
98,O=C1N=CC=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)N1,7.58,9.33
81,O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC(O)=O,7.59,8.35
77,CN(C)C1=C(C=CC=C2S(=O)(N[C@H](C(NCC(NCC(O)=O)=O)=O)CC3=CNC4=CC=CC=C43)=O)C2=CC=C1,7.6,8.28
71,O=C([C@H](CCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CCC3=CC=CC=C3)N4[C@H](C(O)=O)CCC4,7.68,8.05
85,OC(CCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,7.79,8.53
56,O[C@H]([C@@H]1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O[C@@H]1CO)N(C=CC4=O)C(N4)=O,7.84,7.34
84,OC(C(C=C1)=CC(CO)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CNC(C)(C)C,8.27,8.39
