Dns_SMILES,Experimental_RT,Predicted_RT
CN(C)C1=C(C=CC=C2S(=O)(NC(C(O)=O)CC3=CN(C)C=N3)=O)C2=CC=C1,2.17,7.97
CN(C)C1=C(C=CC=C2S(=O)(NCCCN)=O)C2=CC=C1,2.63,3.91
CN(C)C1=C(C=CC=C2S(=O)(NCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O)C2=CC=C1,20.49,18.96
CN(C)C1=C(C=CC=C2S(=O)(OC3=CC=C(CC(O)=O)C=C3)=O)C2=CC=C1,16.91,17.19
CN(C)C1=C(C=CC=C2S(=O)(NC(C(O)=O)CC3=CC(I)=C(OS(O)(C4=CC=CC5=C(N(C)C)C=CC=C54)=O)C=C3)=O)C2=CC=C1,23.88,19.07
CN(C)C1=C(C=CC=C2S(=O)(NCCC3=CC(OC)=C(C=C3)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O)C2=CC=C1,25.49,24.56
CN(C)C1=C(C=CC=C2S(=O)(NC3=C4N=CN(C4=NC=N3)[C@H]5O[C@H]([C@@H]([C@@H]5O)O)COP(O)(O)=O)=O)C2=CC=C1,1.75,3.8
O[C@H]1[C@H](N2C3=NC=NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C3N=C2)O[C@H](CO)[C@H]1O,3.94,4.48
CN(C)C1=C(C=CC=C2S(=O)(N)=O)C2=CC=C1,5.82,9.14
OC(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,7.24,7.35
OC(CN(C)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,3.02,3.58
CN(C)C1=C(C=CC=C2S(=O)(N3CCCCC3C(O)=O)=O)C2=CC=C1,13.23,11.48
OC[C@H]([C@H]1O)O[C@H](C1)N2C3=C(N=C2)C(NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=N3)=O,8.49,8.13
CN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C,15.07,14.82
O[C@H]1[C@H](N2C=CC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=NC2=O)O[C@H](CO)[C@H]1O,5.87,4.17
O[C@H]([C@@H]1O)[C@H](N2C=CC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=NC2=O)OC1=C,7.38,9.86
O[C@H]1[C@H](N2C(N=C(N)C=C2)=O)O[C@H](COP(O)(O)=O)[C@H]1OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,1.88,2.95
O[C@H]1[C@H](N2C(N=C(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O)O[C@H](COP(O)(O)=O)[C@H]1O,2.87,3.55
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCSC[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O)=O,13.34,14.23
N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCSC[C@H](N)C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,13.69,14.38
OC[C@H]([C@H]1O)O[C@H](C1)N2C3=NC=NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C3N=C2,8.72,8.06
OC(CCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,7.79,8.53
O=C1CCCN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,13.57,14.8
COC1=CC(CC(O)=O)=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.51,17.38
OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,6.59,6.94
NC(N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)=N,2.74,3.56
OC(CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1)=O,24.84,22.51
OC[C@H]([C@H]1O)O[C@H]([C@@H]1O)N2C3=C(N=C2)C(NC(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=N3)=O,2.22,4.66
OC(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,5.05,7.56
O=C(O1)CC[C@@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C1=O,9.46,10.9
OCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,6,5.18
OC(C1=C(C=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1)O)=O,17.11,17.14
OC(C1=C(C=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,24.69,22.89
C[C@@]12[C@@H](O)[C@H](O)C[C@@]1([H])[C@@]3([H])[C@@]([H])(C(C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C6)=C6CC3)CC2,20.36,23.24
OC1=NC(O)NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2,2.12,4.05
OC1=NC=NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2,8.73,9.14
CN(C)C1=C(C=CC=C2S(OC3=NC=NC4=C3NC=N4)(=O)=O)C2=CC=C1,9.65,10.2
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)=O,22.65,21.32
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)=O,12.74,13.45
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,7.57,7.96
OC([C@@H]1CCCN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,10.18,11.17
CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,9.82,9.92
O=C([C@H]([C@@H](C)O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,5.79,6.05
OC([C@H](CC(N)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,3,4.45
